ID_0,ISO,NAME_0,ID_1,NAME_1,TYPE_1,ENGTYPE_1,NL_NAME_1,VARNAME_1,layer,path,net,emig,inmig,CONT,JOIN_ID,NODE,emig_m1,emig_f1,inmig_m1,inming_f1,TP,exoticas,sp_ex,nativas,nat_spp,proporcion,agemean,ntl00mean,ntl21mean,ntl_dif,tempmean,precipanua,imn_p,ntltrendme,ntl_count,ntl_hab
"68",ECU,Ecuador,"20",Santa Elena,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,17018.000,"847","17865",,ECU_24,,489,358,10758,7107,308692.999999999941792,13.000000000000000,10.000000000000000,155.000000000000000,92.000000000000000,0.077380952380952,1545.299768326130334,2.646532438478747,8.444966442953024,5.798,23.776107424964309,788.984810322669773,0.004900585189946,0.360973205506911,352.000000000000000,"0"
"53",COL,Colombia,"6",Boyacá,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,32563.000,"30","32593",,COL_15,,14,16,16403,16190,2146496.000000000000000,11905.000000000000000,1549.000000000000000,2118.000000000000000,565.000000000000000,0.848962418883263,1640.827043829561944,2.378389198238527,5.167813080030572,2.789,14.979548502908605,2526.114953733633229,0.015184281731715,0.182721377780393,974.000000000000000,"0"
"53",COL,Colombia,"27",Santander,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,56522.000,"36","56558",,COL_68,,16,20,28301,28257,2146496.000000000000000,2556.000000000000000,903.000000000000000,3652.000000000000000,1048.000000000000000,0.411726804123711,1591.865230344376414,2.317932039923741,5.095800157003478,2.778,21.382939841688319,2735.990328791056982,0.046832523920127,0.196140741106129,1343.000000000000000,"0"
"12",ARG,Argentina,"22",Santiago del Estero,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,-86.000,"4342","4256",,ARG_86,,2608,1734,2372,1884,978313.000000000000000,1445.000000000000000,379.000000000000000,58.000000000000000,34.000000000000000,0.961410512308716,1694.880346113506448,0.242615181028421,1.801070833356404,1.558,21.434607655344475,789.382513754792399,0.004685841623838,0.123354438149768,1553.000000000000000,"0"
"12",ARG,Argentina,"24",Tucumán,Provincia,,,Tucumão,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,1032.000,"6244","7276",,ARG_90,,3422,2822,3583,3693,1694656.000000000000000,2796.000000000000000,810.000000000000000,300.000000000000000,107.000000000000000,0.903100775193798,1596.333300781250045,2.743094390781224,7.428469750889680,4.685,16.875275385880620,1176.801159285038011,0.018692068972604,0.308736163738952,2316.000000000000000,"0"
"28",BOL,Bolivia,"8",Santa Cruz,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,113228.000,"2053","115281",,BOL_700,,1380,673,73365,41916,2657762.000000000000000,29310.000000000000000,3688.000000000000000,29505.000000000000000,2653.000000000000000,0.498342259627646,1730.838392307607592,0.203161401493395,1.927947156806433,1.725,24.154998863520845,1317.231357608301550,0.043375215688989,0.094278477060437,2801.000000000000000,"0"
"68",ECU,Ecuador,"10",Guayas,Provincia,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,102288.000,"12885","115173",,ECU_9,,6921,5964,60206,54967,1083519.000000000000000,154.000000000000000,59.000000000000000,2068.000000000000000,512.000000000000000,0.069306930693069,1561.482749710161897,6.016779926816518,13.353737584945112,7.337,24.183058063016809,1424.293727435526307,0.106295321078818,0.382982688293003,3240.000000000000000,"0"
"53",COL,Colombia,"28",Sucre,Departamento,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,64716.000,"2229","66945",,COL_70,,1053,1176,31810,35135,888638.000000000116415,353.000000000000000,211.000000000000000,1211.000000000000000,511.000000000000000,0.225703324808184,1671.366897503238079,3.796145926415168,6.637553906523176,2.841,25.879629771890333,1640.256967175771479,0.032885316235949,0.208029559518850,1137.000000000000000,"0"
"249",VEN,Venezuela,"2",Anzoátegui,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,43562.000,"2091","45653",,VEN_2,,897,1194,24342,21311,2103856.000000000000000,46.000000000000000,24.000000000000000,368.000000000000000,238.000000000000000,0.111111111111111,1676.590562947591252,4.411254491706937,9.066149788469367,4.655,27.148639223094300,1002.769220708585635,0.021699679065487,0.366847727200603,5410.000000000000000,"0"
"249",VEN,Venezuela,"17",Monagas,,,,,paises,C:\Users\Usuario\Mi unidad\Arboles_exoticos\paises.shp,48564.000,"2143","50707",,VEN_16,,1054,1089,24305,26402,2103856.000000000000000,21.000000000000000,11.000000000000000,274.000000000000000,200.000000000000000,0.071186440677966,1702.363537099684663,6.560662778213052,13.908040973854503,7.347,26.111497006202018,1385.329543537551444,0.024101934733176,0.611903245502126,7039.000000000000000,"0"
